,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
Anhydro-N-acetylmuramic acid kinase,1762,"Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling",anmK,1115,1818623,-,-,2.7.1.170,ko:K09001,-,-,-,-,"ko00000,ko01000",-,-,-,AnmK
hypothetical protein_323,1763,PFAM peptidase,-,1556,1819735,-,-,-,-,-,-,-,-,-,-,-,-,"OapA,Peptidase_M23"
hypothetical protein_515,1765,Belongs to the universal stress protein A family,-,146,1822335,-,-,-,-,-,-,-,-,-,-,-,-,Usp
hypothetical protein_344,1777,-,-,383,1838596,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_345,1779,-,-,956,1839745,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_66,1780,chlorophyll binding,-,1178,1840774,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
hypothetical protein_346,1781,-,-,398,1842260,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_67,1785,PFAM VacJ family lipoprotein,-,821,1845965,+,-,-,ko:K04754,-,-,-,-,ko00000,-,-,-,MlaA
hypothetical protein_347,1788,-,-,539,1848270,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_68,1793,lipid kinase activity,-,980,1852444,-,-,-,-,-,-,-,-,-,-,-,-,Mmp37
hypothetical protein_69,1794,Diacylglycerol kinase catalytic domain,-,1004,1853448,-,-,-,-,-,-,-,-,-,-,-,-,DAGK_cat
Lipopolysaccharide export system permease protein LptG,1795,Permease YjgP YjgQ,-,1103,1854515,-,-,-,ko:K11720,"ko02010,map02010",M00320,-,-,"ko00000,ko00001,ko00002,ko02000",1.B.42.1,-,-,YjgP_YjgQ
hypothetical protein_70,1796,Permease YjgP YjgQ family,-,1133,1855594,-,-,-,ko:K07091,"ko02010,map02010",M00320,-,-,"ko00000,ko00001,ko00002,ko02000",1.B.42.1,-,-,YjgP_YjgQ
hypothetical protein_71,1797,MobA-like NTP transferase domain,-,863,1856794,-,-,-,-,-,-,-,-,-,-,-,-,NTP_transf_3
Protein YghO,1798,acetyltransferase,yghO,1178,1857684,-,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,-,-,-,-,-,-,-,-,-,-
4-hydroxyphenylalkanoate adenylyltransferase,1799,Acyltransferase,JD73_00810,1775,1859600,+,-,-,ko:K00666,-,-,-,-,"ko00000,ko01000,ko01004",-,-,-,"AMP-binding,AMP-binding_C_2,PP-binding"
hypothetical protein_72,1800,epimerase,-,920,1861384,+,-,"1.6.5.3,1.6.99.3","ko:K00329,ko:K00356","ko00190,map00190",-,R11945,RC00061,"ko00000,ko00001,ko01000",-,-,-,"Epimerase,NAD_binding_10"
hypothetical protein_348,1801,acyl carrier protein,AKN40_0794,251,1862358,+,-,-,-,-,-,-,-,-,-,-,-,PP-binding
hypothetical protein_73,1803,Uncharacterized protein conserved in bacteria (DUF2147),-,593,1863884,-,-,-,-,-,-,-,-,-,-,-,-,DUF2147
hypothetical protein_349,1805,-,-,353,1866971,+,-,-,-,-,-,-,-,-,-,-,-,-
Cell division protein FtsN,1806,PFAM Sporulation,-,671,1867327,+,-,-,-,-,-,-,-,-,-,-,-,SPOR
hypothetical protein_74,1807,Lysylphosphatidylglycerol synthase TM region,-,1037,1867982,-,-,-,-,-,-,-,-,-,-,-,-,LPG_synthase_TM
Tungstate uptake system ATP-binding protein TupC,1812,pfam abc,-,602,1874150,-,-,-,-,-,-,-,-,-,-,-,-,ABC_tran
hypothetical protein_416,1820,-,-,260,1882342,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_417,1821,PFAM Integrase,-,176,1882719,+,-,-,-,-,-,-,-,-,-,-,-,"HTH_32,LZ_Tnp_IS481,rve,rve_3"
Recombination-associated protein RdgC,1826,May be involved in recombination,rdgC,932,1886658,+,-,-,ko:K03554,-,-,-,-,"ko00000,ko03400",-,-,-,RdgC
hypothetical protein_62,1827,PFAM GTP-binding protein HSR1-related,-,1532,1887643,-,-,-,ko:K06946,-,-,-,-,ko00000,-,-,-,MMR_HSR1
hypothetical protein_63,1828,50S ribosome-binding GTPase,-,1238,1889172,-,-,-,-,-,-,-,-,-,-,-,-,"DUF697,MMR_HSR1"
hypothetical protein_65,1829,"Uncharacterized ACR, COG1430",-,500,1890602,+,-,-,ko:K09005,-,-,-,-,ko00000,-,-,-,DUF192
hypothetical protein_343,1831,Domain of unknown function DUF21,-,1037,1891679,-,-,-,-,-,-,-,-,-,-,-,-,"CBS,DUF21"
Aldose sugar dehydrogenase YliI,1832,PFAM Glucose Sorbosone dehydrogenase,-,1118,1892754,-,-,-,-,-,-,-,-,-,-,-,-,GSDH
hypothetical protein_563,1836,COG0845 Membrane-fusion protein,-,1433,1896346,+,-,-,-,-,-,-,-,-,-,-,-,"Biotin_lipoyl_2,HlyD_3"
hypothetical protein_562,1837,Outer membrane component of multidrug efflux pump,-,1466,1897801,+,-,-,-,-,-,-,-,-,-,-,-,OEP
hypothetical protein_561,1838,abc transporter atp-binding protein,-,1676,1899303,+,-,-,ko:K02021,-,-,-,-,"ko00000,ko02000","3.A.1.106,3.A.1.110,3.A.1.112,3.A.1.113,3.A.1.117,3.A.1.21",-,-,ABC_membrane
Antitoxin HigA-2,1845,sequence-specific DNA binding,-,221,1906884,-,-,-,ko:K07726,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_3,HTH_31"
Dihydroneopterin aldolase,1874,"Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin",folB,362,1928979,+,-,"1.13.11.81,4.1.2.25,5.1.99.8",ko:K01633,"ko00790,ko01100,map00790,map01100","M00126,M00840","R03504,R11037,R11073","RC00721,RC00943,RC01479,RC03333,RC03334","ko00000,ko00001,ko00002,ko01000",-,-,-,FolB
hypothetical protein_517,1875,"PFAM 7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK",-,491,1929338,+,-,2.7.6.3,ko:K00950,"ko00790,ko01100,map00790,map01100","M00126,M00841",R03503,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,HPPK
Undecaprenyl-diphosphatase,1878,Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin,uppP,791,1932207,+,-,3.6.1.27,ko:K06153,"ko00550,map00550",-,R05627,RC00002,"ko00000,ko00001,ko01000,ko01011",-,-,-,BacA
hypothetical protein_197,1881,Evidence 4 Homologs of previously reported genes of,-,287,1935694,-,-,-,ko:K09700,-,-,-,-,ko00000,-,-,-,-
hypothetical protein_246,1882,membrane transporter protein,-,800,1936460,+,-,-,ko:K07090,-,-,-,-,ko00000,-,-,-,TauE
RNA polymerase-associated protein RapA_236,1885,DNA RNA helicase,-,1718,1939393,+,-,-,-,-,-,-,-,-,-,-,-,"Helicase_C,SNF2_N,SWIM"
hypothetical protein_219,1886,CsbD-like,yjbJ,287,1941468,+,-,-,-,-,-,-,-,-,-,-,-,CsbD
hypothetical protein_518,1890,Domain of unknown function (DUF1841),-,461,1946067,+,-,-,-,-,-,-,-,-,-,-,-,DUF1841
hypothetical protein_237,1898,CsbD-like,yjbJ,254,1952117,-,-,-,-,-,-,-,-,-,-,-,-,CsbD
hypothetical protein_206,1899,ATP-grasp domain,-,1298,1952539,-,-,-,-,-,-,-,-,-,-,-,-,ATP-grasp_4
hypothetical protein_199,1906,Heavy metal translocating P-type atpase,-,464,1959750,-,-,-,-,-,-,-,-,-,-,-,-,-
Mercuric resistance operon regulatory protein,1908,"MerR, DNA binding",-,464,1960385,-,-,-,ko:K19591,-,M00769,-,-,"ko00000,ko00002,ko01504,ko03000",-,-,-,"MerR,MerR-DNA-bind"
Glucose-6-phosphate 1-dehydrogenase 1,1909,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone,-,1385,1960996,-,-,-,-,-,-,-,-,-,-,-,-,"G6PD_C,G6PD_N"
hypothetical protein_58,1910,-,-,338,1962383,-,-,-,-,-,-,-,-,-,-,-,-,-
Transaldolase,1911,Belongs to the GPI family,tal,2627,1962744,-,-,"2.2.1.2,5.3.1.9","ko:K01810,ko:K13810","ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00004,M00007,M00114","R01827,R02739,R02740,R03321","RC00376,RC00439,RC00563,RC00604","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"PGI,TAL_FSA"
hypothetical protein_230,1912,membrane transporter protein,-,818,1965648,+,-,-,-,-,-,-,-,-,-,-,-,TauE
Transcriptional regulatory protein PrrA,1937,Response regulator receiver domain protein,-,290,1992105,+,-,-,-,-,-,-,-,-,-,-,-,"Response_reg,Trans_reg_C"
Trehalase_244,1944,"glucan 1,4-alpha-glucosidase activity",-,239,1995493,+,-,-,-,-,-,-,-,-,-,-,-,Glyco_hydro_15
Adaptive-response sensory-kinase SasA,1947,His Kinase A (phosphoacceptor) domain,-,1238,1996201,-,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,HisKA"
hypothetical protein_7,1948,-,-,371,1998007,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_57,1950,-,-,212,1999031,-,-,-,-,-,-,-,-,-,-,-,-,-
Transcriptional regulatory protein TdiR,1951,response regulator receiver,-,704,1999562,+,-,-,ko:K13041,"ko02020,map02020",M00514,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"GerE,Response_reg"
Na(+)/H(+) antiporter NhaA,1952,) H( ) antiporter that extrudes sodium in exchange for external protons,-,1226,2000444,+,-,-,ko:K03313,-,-,-,-,"ko00000,ko02000",2.A.33.1,-,-,Na_H_antiport_1
hypothetical protein_338,1958,Sulfotransferase family,-,1019,2007456,-,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_3
hypothetical protein_337,1959,WbqC-like protein family,-,674,2008479,-,-,-,-,-,-,-,-,-,-,-,-,WbqC
"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",1960,Belongs to the DegT DnrJ EryC1 family,-,1100,2009165,-,-,-,-,-,-,-,-,-,-,-,-,DegT_DnrJ_EryC1
hypothetical protein_336,1961,Tetratricopeptide repeat,-,398,2010634,-,-,-,-,-,-,-,-,-,-,-,-,-
Lipopolysaccharide biosynthesis protein WzxC,1963,PFAM Polysaccharide biosynthesis protein,-,1394,2011716,+,-,-,-,-,-,-,-,-,-,-,-,"Polysacc_synt_3,Polysacc_synt_C"
hypothetical protein_335,1964,Glycosyltransferase like family 2,-,932,2013107,+,-,-,-,-,-,-,-,-,-,-,-,Glycos_transf_2
hypothetical protein_334,1967,"transferase activity, transferring glycosyl groups",-,1256,2017232,+,-,-,-,-,-,-,-,-,-,-,-,Glyco_trans_1_4
hypothetical protein_333,1968,-,-,209,2018485,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_332,1969,Sulfotransferase domain,-,1049,2018691,+,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_3
Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,1970,PFAM Glycosyl transferase family 4,wecA,1142,2019813,+,-,"2.7.8.33,2.7.8.35",ko:K02851,-,-,R08856,RC00002,"ko00000,ko01000,ko01003,ko01005",-,-,-,Glycos_transf_4
hypothetical protein_331,1971,Capsular exopolysaccharide family,-,2228,2020967,+,-,-,"ko:K16554,ko:K16692","ko05111,map05111",-,-,-,"ko00000,ko00001,ko01000,ko01001,ko02000",8.A.3.1,-,-,"AAA_31,CbiA,GNVR,ParA,Wzz"
hypothetical protein_145,1973,Domain of unknown function (DUF4838),-,2252,2024260,+,-,-,-,-,-,-,-,-,-,-,-,DUF4838
hypothetical protein_146,1974,-,-,1298,2026509,+,-,-,-,-,-,-,-,-,-,-,-,-
Rhamnosyltransferase WbbL,1975,"Glycosyl transferase, family 2",wbbL,836,2027863,+,-,-,ko:K07011,-,-,-,-,ko00000,-,-,-,"Glyco_tranf_2_3,Glyco_transf_7C,Glycos_transf_2"
hypothetical protein_495,1976,"transferase activity, transferring glycosyl groups",-,1253,2028684,+,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_1_4,Glycos_transf_1"
hypothetical protein_496,1978,methyltransferase,-,782,2030427,+,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31"
hypothetical protein_497,1979,Sulfotransferase family,-,860,2031448,+,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_3
hypothetical protein_147,1980,Putative beta-barrel porin 2,-,1238,2032462,+,-,-,-,-,-,-,-,-,-,-,-,BBP2_2
hypothetical protein_148,1981,polysaccharide export protein,-,869,2033687,+,-,-,ko:K01991,"ko02026,map02026",-,-,-,"ko00000,ko00001,ko02000",1.B.18,-,-,"Poly_export,SLBB"
Putative sporulation hydrolase CotR,1982,Patatin-like phospholipase,-,926,2034710,-,-,-,-,-,-,-,-,-,-,-,-,Patatin
hypothetical protein_498,1986,TRL-like protein family,-,311,2039415,+,-,-,-,-,-,-,-,-,-,-,-,TRL
hypothetical protein_499,1987,-,-,521,2040374,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_149,1988,Formate nitrite,-,935,2040981,+,-,-,ko:K06212,-,-,-,-,"ko00000,ko02000","1.A.16.1.1,1.A.16.1.3",-,-,Form_Nir_trans
Outer membrane protein assembly factor BamD,1992,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",bamD,755,2047048,+,-,-,ko:K05807,-,-,-,-,"ko00000,ko02000",1.B.33.1,-,-,YfiO
hypothetical protein_198,2001,Transposase IS200 like,-,239,2058714,+,-,-,ko:K07491,-,-,-,-,ko00000,-,-,-,Y1_Tnp
hypothetical protein_93,2006,Diguanylate cyclase,-,1964,2061898,+,-,-,-,-,-,-,-,-,-,-,-,"EAL,GGDEF,PAS,PAS_3,PAS_9,SBP_bac_3"
putative Ni/Fe-hydrogenase B-type cytochrome subunit,2007,cytochrome,-,626,2063972,+,-,-,-,-,-,-,-,-,-,-,-,Ni_hydr_CYTB
hypothetical protein_633,2008,peptidase,-,347,2064540,+,-,-,-,-,-,-,-,-,-,-,-,PepSY
hypothetical protein_634,2010,Histidine kinase,-,1343,2065581,+,-,-,-,-,-,-,-,-,-,-,-,HATPase_c
hypothetical protein_94,2015,-,-,347,2070870,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_400,2019,Mut7-C RNAse domain,-,563,2074890,+,-,-,ko:K09122,-,-,-,-,ko00000,-,-,-,"Mut7-C,Ub-Mut7C"
Thiamine-monophosphate kinase,2027,"Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1",thiL,974,2081877,+,-,2.7.4.16,ko:K00946,"ko00730,ko01100,map00730,map01100",M00127,R00617,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,"AIRS,AIRS_C"
hypothetical protein_401,2028,-,-,281,2082967,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_402,2031,-,-,167,2088116,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_403,2032,-,-,437,2088476,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_229,2033,Alginate export,-,1406,2088932,-,-,-,-,-,-,-,-,-,-,-,-,Alginate_exp
hypothetical protein_404,2034,Protein of Unknown function (DUF2784),-,356,2090547,-,-,-,-,-,-,-,-,-,-,-,-,DUF2784
hypothetical protein_405,2035,"membrane protein, terc",yegH,1553,2091014,+,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,"CBS,CorC_HlyC,TerC"
Anaerobic nitric oxide reductase transcription regulator NorR,2037,Sigma-54 interaction domain,-,1283,2093704,-,-,-,-,-,-,-,-,-,-,-,-,Sigma54_activat
Vitamin B12 import ATP-binding protein BtuD_406,2038,ABC transporter transmembrane region,-,3050,2094984,-,-,-,ko:K06147,-,-,-,-,"ko00000,ko02000","3.A.1.106,3.A.1.109,3.A.1.21",-,-,"ABC_membrane,ABC_tran,Peptidase_C39,cNMP_binding"
Foldase protein PrsA_407,2039,PPIC-type PPIASE domain,-,752,2098142,-,-,-,-,-,-,-,-,-,-,-,-,Rotamase
"Hemolysin secretion protein D, chromosomal",2040,HlyD family secretion protein,-,1385,2098936,-,-,-,-,-,-,-,-,-,-,-,-,"Biotin_lipoyl_2,HlyD_3"
hypothetical protein_408,2041,Forkhead associated domain,-,2411,2100311,-,-,-,-,-,-,-,-,-,-,-,-,FHA
putative efflux pump outer membrane protein TtgC,2042,Outer membrane efflux protein,-,1478,2102759,-,-,-,-,-,-,-,-,-,-,-,-,OEP
hypothetical protein_409,2043,-,-,302,2104381,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_410,2044,-,-,251,2104764,-,-,-,-,-,-,-,-,-,-,-,-,-
Iron-sulfur cluster carrier protein,2045,Cellulose biosynthesis protein BcsQ,-,773,2105432,+,-,-,-,-,-,-,-,-,-,-,-,CbiA
hypothetical protein_411,2046,Esterase of the alpha-beta hydrolase superfamily,plpD,1046,2106199,+,-,-,ko:K07001,-,-,-,-,ko00000,-,-,-,"Bac_surface_Ag,POTRA,Patatin"
hypothetical protein_412,2047,histone H2A K63-linked ubiquitination,-,524,2107242,-,-,-,-,-,-,-,-,-,-,-,-,"FHA,GAF,Yop-YscD_cpl"
hypothetical protein_413,2048,Domain in cystathionine beta-synthase and other proteins.,-,593,2107945,-,-,-,-,-,-,-,-,-,-,-,-,CBS
hypothetical protein_414,2049,-,-,263,2108963,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_415,2050,-,-,263,2109502,+,-,-,-,-,-,-,-,-,-,-,-,-
Demethylmenaquinone methyltransferase,2051,Putative methyltransferase,-,704,2109956,+,-,"2.1.1.163,2.1.1.201",ko:K03183,"ko00130,ko01100,ko01110,map00130,map01100,map01110","M00116,M00117","R04990,R04993,R06859,R08774,R09736","RC00003,RC01253,RC01662","ko00000,ko00001,ko00002,ko01000",-,-,-,Ubie_methyltran
hypothetical protein_95,2052,Belongs to the FPP GGPP synthase family,-,986,2110681,-,-,-,-,-,-,-,-,-,-,-,-,polyprenyl_synt
hypothetical protein_96,2053,-,-,737,2111687,-,-,-,-,-,-,-,-,-,-,-,-,-
Phosphate regulon transcriptional regulatory protein PhoB,2054,phosphate regulon transcriptional regulatory protein PhoB,-,686,2112741,+,-,-,ko:K07657,"ko02020,map02020",M00434,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"Response_reg,Trans_reg_C"
hypothetical protein_232,2055,Putative ATP-dependant zinc protease,-,560,2113489,-,-,-,-,-,-,-,-,-,-,-,-,Zn_protease
Esterase YbfF,2060,Alpha beta hydrolase,-,797,2122387,+,-,-,ko:K01175,-,-,-,-,"ko00000,ko01000",-,-,-,Abhydrolase_1
hypothetical protein_398,2064,-,-,905,2127083,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_399,2065,protein conserved in bacteria,-,713,2128359,-,-,-,ko:K09990,-,-,-,-,ko00000,-,-,-,Oxygenase-NA
DNA-3-methyladenine glycosylase 2,2066,3-methyladenine DNA glycosylase 8-oxoguanine DNA glycosylase,alkA,791,2129069,-,"GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003824,GO:0003905,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006285,GO:0006304,GO:0006307,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008725,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0032131,GO:0032991,GO:0032993,GO:0033554,GO:0034641,GO:0035510,GO:0043170,GO:0043412,GO:0043733,GO:0043916,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363",3.2.2.21,"ko:K01247,ko:K13529","ko03410,map03410",-,-,-,"ko00000,ko00001,ko01000,ko03000,ko03400",-,-,-,"AlkA_N,HhH-GPD"
Vitamin B12 transporter BtuB,2075,TonB-dependent Receptor Plug,-,1808,2137254,-,-,-,ko:K16092,-,-,-,-,"ko00000,ko02000",1.B.14.3,-,-,"Plug,TonB_dep_Rec"
hypothetical protein_37,2083,-,-,275,2147042,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_310,2087,PFAM AsmA family protein,-,2126,2150095,+,-,-,ko:K07289,-,-,-,-,ko00000,-,-,-,AsmA
Hydroxyacylglutathione hydrolase_311,2090,"COG0491 Zn-dependent hydrolases, including glyoxylases",-,1025,2153596,+,-,-,-,-,-,-,-,-,-,-,-,Lactamase_B
hypothetical protein_245,2109,COG0724 RNA-binding proteins (RRM domain),-,284,2171595,-,-,-,-,-,-,-,-,-,-,-,-,RRM_1
"Fructose-1,6-bisphosphate aldolase/phosphatase",2110,"Catalyzes two subsequent steps in gluconeogenesis the aldol condensation of dihydroxyacetone phosphate (DHAP) and glyceraldehyde-3-phosphate (GA3P) to fructose-1,6-bisphosphate (FBP), and the dephosphorylation of FBP to fructose-6-phosphate (F6P)",-,1103,2172344,+,-,"3.1.3.11,4.1.2.13",ko:K01622,"ko00010,ko00030,ko00051,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map01100,map01110,map01120,map01130,map01200,map01230",M00003,"R00762,R01068,R01070,R02568,R04780","RC00017,RC00438,RC00439","ko00000,ko00001,ko00002,ko01000",-,-,-,FBPase_3
"1,2-phenylacetyl-CoA epoxidase, subunit E",2137,COG1018 Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,paaE,1076,2203615,+,"GO:0000166,GO:0003674,GO:0005488,GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016054,GO:0019439,GO:0019748,GO:0019752,GO:0032787,GO:0036094,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0048037,GO:0050660,GO:0050662,GO:0050896,GO:0051536,GO:0051537,GO:0051540,GO:0051716,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0097159,GO:0098754,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575",-,ko:K02613,"ko00360,ko01120,map00360,map01120",-,R09838,RC02690,"ko00000,ko00001",-,-,iEcHS_1320.EcHS_A1479,"FAD_binding_6,Fer2,NAD_binding_1"
hypothetical protein_51,2138,-,-,767,2204892,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_50,2140,-,-,224,2206329,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_319,2141,-,-,725,2206805,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_318,2142,self proteolysis,-,713,2207527,+,-,-,-,-,-,-,-,-,-,-,-,SprB
hypothetical protein_49,2144,EamA-like transporter family,-,878,2209499,+,-,-,-,-,-,-,-,-,-,-,-,EamA
Molybdenum-pterin-binding protein 2,2145,"Protein involved in ATP binding, hydrolase activity acting on acid anhydrides catalyzing transmembrane movement of substances, molybdate transmembrane-transporting ATPase activity, molybdenum ion binding, transporter activity and transport",-,215,2210427,-,-,-,-,-,-,-,-,-,-,-,-,TOBE
Molybdate-binding protein ModA,2146,"molybdenum ABC transporter, periplasmic",-,821,2210680,-,-,-,ko:K02020,"ko02010,map02010",M00189,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.8,-,-,SBP_bac_11
hypothetical protein_601,2153,-,-,1994,2218853,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_600,2155,GGDEF domain,-,1424,2222349,+,-,-,-,-,-,-,-,-,-,-,-,"GGDEF,NMT1,Reg_prop,SBP_bac_3,Y_Y_Y"
Thiol:disulfide interchange protein DsbA,2157,Thiol disulfide interchange protein,-,632,2224753,-,-,-,ko:K03673,"ko01503,map01503",M00728,-,-,"ko00000,ko00001,ko00002,ko03110",-,-,-,DSBA
Cytochrome c4,2158,"PFAM Cytochrome c, class I",-,635,2225584,-,-,-,-,-,-,-,-,-,-,-,-,Cytochrom_C
hypothetical protein_599,2162,Protein of unknown function (DUF2782),-,383,2231006,+,-,-,-,-,-,-,-,-,-,-,-,DUF2782
Lipid A biosynthesis lauroyltransferase,2165,Bacterial lipid A biosynthesis acyltransferase,-,977,2235346,+,-,-,-,-,-,-,-,-,-,-,-,Lip_A_acyltrans
ATP synthase subunit delta,2173,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",atpH,530,2245462,-,-,-,ko:K02113,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,OSCP
ATP synthase subunit b,2174,"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",atpF,464,2246003,-,-,-,ko:K02109,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,ATP-synt_B
"ATP synthase subunit c, sodium ion specific",2175,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",atpE,299,2246544,-,-,-,ko:K02110,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,ATP-synt_C
ATP synthase subunit a,2176,it plays a direct role in the translocation of protons across the membrane,atpB,785,2246908,-,-,-,ko:K02108,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194,ko03110",3.A.2.1,-,-,ATP-synt_A
